,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0.748058516,0,0,0,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.642077718,0,0,0,0,0,0,0,0.503773581,0,0,0,0,0,0,0.863209308,0.533510659,0,0.5,0.732760258
3,0,0,0,0.5,0.74849257,0,0.748822126,0,0,0,0,0,0,0,0,0,0,0,0.684962204,0
4,0,0.636543789,0,0,0,0,0.875,0,0,0,0,0,0,0,0.584247014,0.691395485,0,0,0,0
5,0,0,0.588283148,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.546674012
6,0,0,0,0,0,0,0,0,0,0.5,0,0.489309367,0,0,0,0,0,0,0,0
7,0.773653011,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.559218827,0,0.619797209,0
8,0.53275293,0,0.935889075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0.60173619,0.489259521,0,0,0,0,0,0,0,0,0.5,0,0,0,0.483951039,0,0
10,0,0,0,0,0,0,0,0.539522316,0,0,0,0,0,0,0,0.5,0,0,0,0
11,0,0,0,0,0,0,0,0,0.5,0,0,0,0.597223307,0.484482052,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0.533073323,0,0,0,0,0,0,0.5,0,0,0,0,0
13,0,0.47973508,0,0,0,0,0,0,0.648373703,0,0,0,0,0.5,0,0,0,0,0,0
14,0,0,0,0.610926019,0,0,0,0,0,0,0,0,0.708333333,0,0,0,0,0,0,0
15,0,0,0.534050031,0,0,0,0,0,0,0,0,0.5,0,0,0,0.827162275,0,0,0,0
16,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.655003429,0.549607066,0.688183543,0,0,0,0.666563016,0,0,0,0,0,0,0,0.546353622,0,0,0,0,0.5
18,0,0,0,0.496080317,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.500725518
19,0,0.485183346,0,0.692639348,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761533445,0,0,0,0
